,date,year,month,day,estacio,station_name,lat,lon,no2_daily_avg
140,2018-06-30,2018,6,30,44,Barcelona - Gràcia,41.3987,2.1534,30.0
141,2018-06-30,2018,6,30,50,Barcelona - Ciutadella,41.3864,2.1874,15.625
142,2018-06-30,2018,6,30,50,Barcelona - Ciutadella,41.3864,2.1874,7.0
143,2018-06-30,2018,6,30,54,Barcelona - Vall Hebron,41.4261,2.148,22.5
144,2018-06-30,2018,6,30,57,Barcelona - Palau Reial,41.3875,2.1151,20.583333333333332
145,2018-06-30,2018,6,30,57,Barcelona - Palau Reial,41.3875,2.1151,10.0
146,2018-07-02,2018,7,2,4,Barcelona - Poblenou,41.4039,2.2045,26.071428571428573
147,2018-07-02,2018,7,2,42,Barcelona - Sants,41.3788,2.1331,30.214285714285715
148,2018-07-02,2018,7,2,43,Barcelona - Eixample,41.3853,2.1538,67.14285714285714
149,2018-07-02,2018,7,2,44,Barcelona - Gràcia,41.3987,2.1534,46.92307692307692
150,2018-07-02,2018,7,2,50,Barcelona - Ciutadella,41.3864,2.1874,18.714285714285715
151,2018-07-02,2018,7,2,54,Barcelona - Vall Hebron,41.4261,2.148,17.11111111111111
152,2018-07-02,2018,7,2,57,Barcelona - Palau Reial,41.3875,2.1151,30.214285714285715
153,2018-07-03,2018,7,3,4,Barcelona - Poblenou,41.4039,2.2045,29.869565217391305
154,2018-07-03,2018,7,3,42,Barcelona - Sants,41.3788,2.1331,30.875
155,2018-07-03,2018,7,3,43,Barcelona - Eixample,41.3853,2.1538,61.61904761904762
156,2018-07-03,2018,7,3,44,Barcelona - Gràcia,41.3987,2.1534,48.47826086956522
157,2018-07-03,2018,7,3,50,Barcelona - Ciutadella,41.3864,2.1874,29.333333333333332
158,2018-07-03,2018,7,3,54,Barcelona - Vall Hebron,41.4261,2.148,27.458333333333332
159,2018-07-03,2018,7,3,57,Barcelona - Palau Reial,41.3875,2.1151,27.608695652173914
160,2018-07-04,2018,7,4,4,Barcelona - Poblenou,41.4039,2.2045,39.78260869565217
161,2018-07-04,2018,7,4,42,Barcelona - Sants,41.3788,2.1331,34.608695652173914
162,2018-07-04,2018,7,4,43,Barcelona - Eixample,41.3853,2.1538,52.95
163,2018-07-04,2018,7,4,44,Barcelona - Gràcia,41.3987,2.1534,46.130434782608695
164,2018-07-04,2018,7,4,50,Barcelona - Ciutadella,41.3864,2.1874,36.26086956521739
165,2018-07-04,2018,7,4,54,Barcelona - Vall Hebron,41.4261,2.148,32.26086956521739
